id,user_id,title,message,type,related_order_id,is_read,created_at
1,1,New message from John Doe Updated,Subject: None,new_message,\N,true,2025-09-23T13:09:32
2,1,Welcome to Marketplace!,Thank you for joining our premium marketplace. Start exploring amazing products from verified sellers.,welcome,\N,true,2025-09-23T09:36:16.328550
3,1,Order Confirmation,Your order #12345 has been confirmed and is being processed by the seller.,order,\N,true,2025-09-23T09:36:16.328612
4,1,Product Added to Favorites,The Smart Bluetooth Speaker has been added to your favorites list.,favorite,\N,true,2025-09-23T09:36:16.328638
5,1,New Message,You have received a new message from seller TechStore regarding your inquiry.,message,\N,true,2025-09-23T09:36:16.328655
6,1,Price Drop Alert,Good news! The Wireless Charger in your wishlist is now 20% off.,price_drop,\N,true,2025-09-23T09:36:16.328669
7,2,New message from Tech Store Owner,Subject: dgfcvgdf,message,\N,true,2025-09-25T18:24:37
8,2,New message from Tech Store Owner,Subject: Message about General inquiry,message,\N,true,2025-09-25T18:24:52
9,2,New message from Tech Store Owner,Subject: Message about General inquiry,message,\N,true,2025-09-25T18:25:01
10,4,New message from John Doe Updated,Subject: wesdf,message,\N,true,2025-09-25T18:25:52
11,4,New message from John Doe Updated,Subject: Message about General inquiry,message,\N,true,2025-09-25T18:26:10
12,1,New message from John Doe Updated,Subject: Message about General inquiry,message,\N,true,2025-09-25T18:26:16
13,5,New message from Admin User,Subject: Message about General inquiry,message,\N,true,2025-09-25T18:26:35
14,5,New message from Admin User,Subject: Message about General inquiry,message,\N,true,2025-09-25T18:26:40
15,5,Order #ORD-0E0C134D Placed Successfully,Your order for $199.02 has been placed and is awaiting confirmation.,new_order,2,true,2025-09-25T18:30:08
16,1,Order #ORD-404E917A Placed Successfully,Your order for $905.97 has been placed and is awaiting confirmation.,new_order,3,true,2025-09-30T06:57:28
17,5,Order #ORD-0E0C134D Status Updated,Your order status has been updated to: Confirmed,order_update,2,true,2025-09-30T06:58:18
18,5,Order #ORD-0E0C134D Status Updated,Your order status has been updated to: Processing,order_update,2,true,2025-09-30T06:58:19
19,5,Order #ORD-0E0C134D Status Updated,Your order status has been updated to: Shipped,order_update,2,true,2025-09-30T06:58:20
20,1,Order #ORD-404E917A Status Updated,Your order status has been updated to: Confirmed,order_update,3,true,2025-09-30T06:58:21
21,1,Order #ORD-404E917A Status Updated,Your order status has been updated to: Processing,order_update,3,true,2025-09-30T06:58:22
22,1,Order #ORD-404E917A Status Updated,Your order status has been updated to: Shipped,order_update,3,true,2025-09-30T06:58:22
23,1,Order #ORD-404E917A Status Updated,Your order status has been updated to: Delivered,order_update,3,true,2025-09-30T06:58:22
24,5,Order #ORD-0E0C134D Status Updated,Your order status has been updated to: Delivered,order_update,2,true,2025-09-30T06:58:24
25,5,New message from Admin User,Subject: Message about General inquiry,message,\N,true,2025-09-30T06:59:02
26,1,New message from John Doe Updated,Subject: Message about General inquiry,message,\N,true,2025-09-30T07:01:36
27,5,New message from Admin User,Subject: Message about General inquiry,message,\N,true,2025-09-30T07:13:12
28,1,New message from John Doe Updated,Subject: Message about General inquiry,message,\N,true,2025-09-30T07:13:33
29,5,New message from Admin User,Subject: Message about General inquiry,message,\N,true,2025-09-30T07:16:11
30,1,New message from John Doe Updated,Subject: Message about General inquiry,message,\N,true,2025-09-30T07:16:22
31,5,New message from Admin User,Subject: Message about General inquiry,message,\N,true,2025-09-30T07:16:29
32,1,Order #ORD-A45F39EA Placed Successfully,Your order for $905.97 has been placed and is awaiting confirmation.,new_order,4,true,2025-09-30T07:22:40
33,1,Order #ORD-6B458D00 Placed Successfully,Your order for $199.02 has been placed and is awaiting confirmation.,new_order,5,true,2025-09-30T07:28:28
34,5,Order #ORD-715B4873 Placed Successfully,Your order for $199.02 has been placed and is awaiting confirmation.,new_order,6,true,2025-09-30T14:47:17
35,2,Order #ORD-35293E45 Placed Successfully,Your order for $1238.20 has been placed and is awaiting confirmation.,new_order,7,true,2025-09-30T15:20:31
36,1,New message from John Doe,Subject: Message about General inquiry,message,\N,true,2025-10-03T14:52:37
37,5,Order #ORD-0E82E146 Placed Successfully,Your order for $78.34 has been placed and is awaiting confirmation.,new_order,8,true,2025-10-03T14:58:52
38,5,New message from Admin User,Subject: Message about General inquiry,message,\N,true,2025-10-03T15:00:45
39,5,Order #ORD-3239A319 Status Updated,Your order status has been updated to: Processing,order_update,1,true,2025-10-03T15:02:05
40,5,Order #ORD-3239A319 Status Updated,Your order status has been updated to: Shipped,order_update,1,true,2025-10-03T15:02:05
41,5,Order #ORD-3239A319 Status Updated,Your order status has been updated to: Delivered,order_update,1,true,2025-10-03T15:02:05
42,1,Order #ORD-A45F39EA Status Updated,Your order status has been updated to: Confirmed,order_update,4,true,2025-10-03T15:02:09
43,1,Order #ORD-A45F39EA Status Updated,Your order status has been updated to: Processing,order_update,4,true,2025-10-03T15:02:09
44,1,Order #ORD-6B458D00 Status Updated,Your order status has been updated to: Confirmed,order_update,5,true,2025-10-03T15:02:11
45,1,Order #ORD-6B458D00 Status Updated,Your order status has been updated to: Processing,order_update,5,true,2025-10-03T15:02:12
46,1,Order #ORD-6B458D00 Status Updated,Your order status has been updated to: Shipped,order_update,5,true,2025-10-03T15:02:12
47,1,Order #ORD-6B458D00 Status Updated,Your order status has been updated to: Delivered,order_update,5,true,2025-10-03T15:02:12
48,1,Order #ORD-A45F39EA Status Updated,Your order status has been updated to: Shipped,order_update,4,true,2025-10-03T15:02:13
49,1,Order #ORD-A45F39EA Status Updated,Your order status has been updated to: Delivered,order_update,4,true,2025-10-03T15:02:13
50,5,Order #ORD-715B4873 Status Updated,Your order status has been updated to: Confirmed,order_update,6,true,2025-10-03T15:02:15
51,5,Order #ORD-715B4873 Status Updated,Your order status has been updated to: Processing,order_update,6,true,2025-10-03T15:02:15
52,5,Order #ORD-715B4873 Status Updated,Your order status has been updated to: Shipped,order_update,6,true,2025-10-03T15:02:15
53,5,Order #ORD-715B4873 Status Updated,Your order status has been updated to: Delivered,order_update,6,true,2025-10-03T15:02:15
54,2,Order #ORD-35293E45 Status Updated,Your order status has been updated to: Confirmed,order_update,7,true,2025-10-03T15:02:17
55,2,Order #ORD-35293E45 Status Updated,Your order status has been updated to: Processing,order_update,7,true,2025-10-03T15:02:17
56,2,Order #ORD-35293E45 Status Updated,Your order status has been updated to: Shipped,order_update,7,true,2025-10-03T15:02:17
57,2,Order #ORD-35293E45 Status Updated,Your order status has been updated to: Delivered,order_update,7,true,2025-10-03T15:02:17
58,2,Order #ORD-8710FEB0 Placed Successfully,Your order for $199.02 has been placed and is awaiting confirmation.,new_order,9,true,2025-11-04T06:44:40
59,2,New order #ORD-8710FEB0,You sold 1 item(s): Wireless Bluetooth Headphones,seller_new_order,9,true,2025-11-04T06:44:40
60,2,Order #ORD-D4A3DF42 Placed Successfully,Your order for $320.08 has been placed and is awaiting confirmation.,new_order,10,true,2025-11-04T06:50:52
61,2,New order #ORD-D4A3DF42,You sold 1 item(s): Test Product - Smart Bluetooth Speaker,seller_new_order,10,true,2025-11-04T06:50:52
62,4,New order #ORD-D4A3DF42,You sold 1 item(s): Wireless Charger - Small,seller_new_order,10,true,2025-11-04T06:50:52
63,2,Order #ORD-8710FEB0 Status Updated,Your order status has been updated to: Confirmed,order_update,9,true,2025-11-04T11:53:22
64,2,Order #ORD-D4A3DF42 Status Updated,Your order status has been updated to: Confirmed,order_update,10,true,2025-11-04T11:53:27
65,2,Order #ORD-D4A3DF42 Status Updated,Your order status has been updated to: Processing,order_update,10,true,2025-11-04T11:53:31
66,2,Order #ORD-D4A3DF42 Status Updated,Your order status has been updated to: Shipped,order_update,10,true,2025-11-04T11:53:32
67,2,Order #ORD-D4A3DF42 Status Updated,Your order status has been updated to: Delivered,order_update,10,true,2025-11-04T11:53:32
68,2,Order #ORD-D4A3DF42 Delivered,Your order was delivered successfully. We'd love to hear your feedback — please leave a review for the items you received.,review_request,10,true,2025-11-04T11:53:32
69,2,New message from Tech Store Owner,Subject: mnb,message,\N,true,2025-11-04T12:25:07
70,5,Order #ORD-BC580646 Placed Successfully,Your order for $10.00 has been placed and is awaiting confirmation.,new_order,11,true,2025-11-04T12:48:46
71,2,New order #ORD-BC580646,You sold 1 item(s): dzcxz,seller_new_order,11,true,2025-11-04T12:48:46
72,2,New message from John Doe,Subject: wheb it will available,message,\N,true,2025-11-04T12:51:37
73,5,Order #ORD-2C318E7F Placed Successfully,Your order for $89.99 has been placed and is awaiting confirmation.,new_order,12,true,2025-11-04T13:11:29
74,2,New order #ORD-2C318E7F,You sold 1 item(s): Test Product - Smart Bluetooth Speaker,seller_new_order,12,true,2025-11-04T13:11:29
75,5,New message from Tech Store Owner,Subject: Message about General inquiry,message,\N,true,2025-11-04T16:36:25
76,5,Order #ORD-BC580646 Status Updated,Your order status has been updated to: Confirmed,order_update,11,true,2025-11-04T16:36:37
77,5,Order #ORD-BC580646 Status Updated,Your order status has been updated to: Processing,order_update,11,true,2025-11-04T16:36:38
78,5,Order #ORD-BC580646 Status Updated,Your order status has been updated to: Shipped,order_update,11,true,2025-11-04T16:36:38
79,5,Order #ORD-BC580646 Status Updated,Your order status has been updated to: Delivered,order_update,11,true,2025-11-04T16:36:39
80,5,Order #ORD-BC580646 Delivered,Your order was delivered successfully. We'd love to hear your feedback — please leave a review for the items you received.,review_request,11,true,2025-11-04T16:36:39
81,5,Order #ORD-2C318E7F Status Updated,Your order status has been updated to: Confirmed,order_update,12,true,2025-11-04T16:36:40
82,5,Order #ORD-2C318E7F Status Updated,Your order status has been updated to: Processing,order_update,12,true,2025-11-04T16:36:40
83,5,Order #ORD-2C318E7F Status Updated,Your order status has been updated to: Shipped,order_update,12,true,2025-11-04T16:36:40
84,5,Order #ORD-2C318E7F Status Updated,Your order status has been updated to: Delivered,order_update,12,true,2025-11-04T16:36:41
85,5,Order #ORD-2C318E7F Delivered,Your order was delivered successfully. We'd love to hear your feedback — please leave a review for the items you received.,review_request,12,true,2025-11-04T16:36:41
86,5,Order #ORD-9EA3BA7F Placed Successfully,Your order for $89.99 has been placed and is awaiting confirmation.,new_order,13,true,2025-11-04T16:37:49
87,2,New order #ORD-9EA3BA7F,You sold 1 item(s): Test Product - Smart Bluetooth Speaker,seller_new_order,13,true,2025-11-04T16:37:49
88,5,Order #ORD-9EA3BA7F Status Updated,Your order status has been updated to: Confirmed,order_update,13,true,2025-11-04T16:38:15
89,5,Order #ORD-9EA3BA7F Status Updated,Your order status has been updated to: Processing,order_update,13,true,2025-11-04T16:38:27
90,5,Order #ORD-9EA3BA7F Status Updated,Your order status has been updated to: Shipped,order_update,13,true,2025-11-04T16:38:35
91,5,Order #ORD-9EA3BA7F Status Updated,Your order status has been updated to: Delivered,order_update,13,true,2025-11-04T16:38:36
92,5,Order #ORD-9EA3BA7F Delivered,Your order was delivered successfully. We'd love to hear your feedback — please leave a review for the items you received.,review_request,13,true,2025-11-04T16:38:36
93,5,New message from Tech Store Owner,Subject: Message about General inquiry,message,\N,true,2025-11-04T17:11:40
94,5,New message from Tech Store Owner,Subject: Message about General inquiry,message,\N,true,2025-11-04T17:11:46
95,5,New message from Tech Store Owner,Subject: Message about General inquiry,message,\N,true,2025-11-04T17:12:47
96,5,New message from Tech Store Owner,Subject: Message about General inquiry,message,\N,true,2025-11-04T17:13:25
97,5,New message from Tech Store Owner,Subject: Message about General inquiry,message,\N,true,2025-11-04T17:14:23
98,2,New message from Tech Store Owner,Subject: sd,message,\N,true,2025-11-05T07:48:17
99,2,New message from Tech Store Owner,Subject: Message about General inquiry,message,\N,true,2025-11-05T07:48:25
100,2,New message from John Doe,Subject: Message about General inquiry,message,\N,true,2025-11-05T12:46:28
101,2,New message from John Doe,Subject: what,message,\N,true,2025-11-05T15:28:50
102,5,Order #ORD-6480DBE3 Placed Successfully,Your order for $89.99 has been placed and is awaiting confirmation.,new_order,14,true,2025-11-05T15:31:41
103,2,New order #ORD-6480DBE3,You sold 1 item(s): Test Product - Smart Bluetooth Speaker,seller_new_order,14,true,2025-11-05T15:31:41
104,5,New message from Tech Store Owner,Subject: Message about General inquiry,message,\N,true,2025-11-05T15:42:14
105,5,Order #ORD-6480DBE3 Status Updated,Your order status has been updated to: Confirmed,order_update,14,true,2025-11-05T15:42:38
106,5,Order #ORD-6480DBE3 Status Updated,Your order status has been updated to: Processing,order_update,14,true,2025-11-05T15:42:40
107,5,Order #ORD-6480DBE3 Status Updated,Your order status has been updated to: Shipped,order_update,14,true,2025-11-05T15:42:40
108,5,Order #ORD-6480DBE3 Status Updated,Your order status has been updated to: Delivered,order_update,14,true,2025-11-05T15:42:41
109,5,Order #ORD-6480DBE3 Delivered,Your order was delivered successfully. We'd love to hear your feedback — please leave a review for the items you received.,review_request,14,true,2025-11-05T15:42:41
110,2,New message from John Doe,Subject: Message about General inquiry,message,\N,true,2025-11-05T15:43:33
111,5,New message from Tech Store Owner,Subject: Message about General inquiry,message,\N,true,2025-11-05T17:34:37
112,5,Order #ORD-BBE60631 Placed Successfully,Your order for $67.77 has been placed and is awaiting confirmation.,new_order,15,true,2025-11-05T17:46:10
113,4,New order #ORD-BBE60631,You sold 1 item(s): Wireless Bluetooth Headphones,seller_new_order,15,true,2025-11-05T17:46:10
114,5,Order #ORD-BBE60631 Status Updated,Your order status has been updated to: Confirmed,order_update,15,true,2025-11-05T17:46:29
115,5,Order #ORD-BBE60631 Status Updated,Your order status has been updated to: Processing,order_update,15,true,2025-11-05T17:46:30
116,5,Order #ORD-BBE60631 Status Updated,Your order status has been updated to: Shipped,order_update,15,true,2025-11-05T17:46:30
117,5,Order #ORD-BBE60631 Status Updated,Your order status has been updated to: Delivered,order_update,15,true,2025-11-05T17:46:31
